n, x, pi, p
10, 1,0.45, 0.0207241496279
10, 1,0.5, 0.009765625
10, 2,0.01, 0.00415235112493
10, 2,0.05, 0.07463479852
10, 2,0.1, 0.1937102445
10, 2,0.15, 0.275896656602
10, 2,0.2, 0.301989888
10, 2,0.25, 0.281567573547
10, 2,0.3, 0.2334744405
10, 2,0.35, 0.175652953106
10, 2,0.4, 0.120932352
10, 2,0.45, 0.0763025509028
10, 2,0.5, 0.0439453125
10, 3,0.01, 0.000111847841749
10, 3,0.05, 0.0104750594414
10, 3,0.1, 0.057395628
10, 3,0.15, 0.129833720754
10, 3,0.2, 0.201326592
10, 3,0.25, 0.250282287598
10, 3,0.3, 0.266827932
10, 3,0.35, 0.252219624973
10, 3,0.4, 0.214990848
10, 3,0.45, 0.166478292879
10, 3,0.5, 0.1171875
10, 4,0.01, 1.97710831374e-06
10, 4,0.05, 0.000964808106445
10, 4,0.1, 0.011160261
10, 4,0.15, 0.0400957078799
10, 4,0.2, 0.088080384
10, 4,0.25, 0.145998001099
10, 4,0.3, 0.200120949
10, 4,0.35, 0.237668492763
10, 4,0.4, 0.250822656
10, 4,0.45, 0.238366646622
10, 4,0.5, 0.205078125
10, 5,0.01, 2.39649492575e-08
10, 5,0.05, 6.09352488281e-05
10, 5,0.1, 0.0014880348
10, 5,0.15, 0.00849085578633
10, 5,0.2, 0.0264241152
10, 5,0.25, 0.0583992004395
10, 5,0.3, 0.1029193452
10, 5,0.35, 0.153570410708
10, 5,0.4, 0.2006581248
10, 5,0.45, 0.234032707593
10, 5,0.5, 0.24609375
10, 6,0.01, 2.017251621e-10
10, 6,0.05, 2.67259863281e-06
10, 6,0.1, 0.000137781
10, 6,0.15, 0.0012486552627
10, 6,0.2, 0.005505024
10, 6,0.25, 0.0162220001221
10, 6,0.3, 0.036756909
10, 6,0.35, 0.0689097996768
10, 6,0.4, 0.111476736
10, 6,0.45, 0.159567755177
10, 6,0.5, 0.205078125
10, 7,0.01, 1.1643588e-12
10, 7,0.05, 8.037890625e-08
10, 7,0.1, 8.748e-06
10, 7,0.15, 0.000125914816406
10, 7,0.2, 0.000786432
10, 7,0.25, 0.00308990478516
10, 7,0.3, 0.009001692
10, 7,0.35, 0.0212030152852
10, 7,0.4, 0.042467328
10, 7,0.45, 0.0746031063164
10, 7,0.5, 0.1171875
10, 8,0.01, 4.41045e-15
10, 8,0.05, 1.58642578125e-09
10, 8,0.1, 3.645e-07
10, 8,0.15, 8.33259814453e-06
10, 8,0.2, 7.3728e-05
10, 8,0.25, 0.000386238098145
10, 8,0.3, 0.0014467005
10, 8,0.35, 0.00428137808643
10, 8,0.4, 0.010616832
10, 8,0.45, 0.022889589438
10, 8,0.5, 0.0439453125
10, 9,0.01, 9.9e-18
10, 9,0.05, 1.85546875e-11
10, 9,0.1, 9e-09
10, 9,0.15, 3.26768554688e-07
10, 9,0.2, 4.096e-06
10, 9,0.25, 2.86102294922e-05
10, 9,0.3, 0.000137781
10, 9,0.35, 0.000512301651367
10, 9,0.4, 0.001572864
10, 9,0.45, 0.00416174353418
10, 9,0.5, 0.009765625
10, 10,0.01, 1e-20
10, 10,0.05, 9.765625e-14
10, 10,0.1, 1e-10
10, 10,0.15, 5.76650390625e-09
10, 10,0.2, 1.024e-07
10, 10,0.25, 9.53674316406e-07
10, 10,0.3, 5.9049e-06
10, 10,0.35, 2.75854735352e-05
10, 10,0.4, 0.0001048576
10, 10,0.45, 0.00034050628916
10, 10,0.5, 0.0009765625
11, 0,0.01, 0.895338254259
11, 0,0.05, 0.568800092276
11, 0,0.1, 0.31381059609
11, 0,0.15, 0.16734324369
11, 0,0.2, 0.08589934592
11, 0,0.25, 0.0422351360321
11, 0,0.3, 0.01977326743
11, 0,0.35, 0.00875078317401
11, 0,0.4, 0.00362797056
11, 0,0.45, 0.00139312339166
11, 0,0.5, 0.00048828125
11, 1,0.01, 0.099482028251
11, 1,0.05, 0.329305316581
11, 1,0.1, 0.38354628411
11, 1,0.15, 0.324842767162
11, 1,0.2, 0.23622320128
11, 1,0.25, 0.154862165451
11, 1,0.3, 0.09321683217
11, 1,0.35, 0.0518315618768
11, 1,0.4, 0.02660511744
11, 1,0.45, 0.0125381105249
11, 1,0.5, 0.00537109375
11, 2,0.01, 0.00502434486116
11, 2,0.05, 0.0866592938371
11, 2,0.1, 0.21308126895
11, 2,0.15, 0.286625971025
11, 2,0.2, 0.2952790016
11, 2,0.25, 0.258103609085
11, 2,0.3, 0.19975035465
11, 2,0.35, 0.139546512745
11, 2,0.4, 0.0886837248
11, 2,0.45, 0.0512922703291
11, 2,0.5, 0.02685546875
11, 3,0.01, 0.000152252874581
11, 3,0.05, 0.0136830463953
11, 3,0.1, 0.07102708965
11, 3,0.15, 0.151743161131
11, 3,0.2, 0.2214592512
11, 3,0.25, 0.258103609085
11, 3,0.3, 0.25682188455
11, 3,0.35, 0.225421289819
11, 3,0.4, 0.1773674496
11, 3,0.45, 0.12589920899
11, 3,0.5, 0.08056640625
11, 4,0.01, 3.07581564809e-06
11, 4,0.05, 0.00144032067319
11, 4,0.1, 0.0157837977
11, 4,0.15, 0.053556409811
11, 4,0.2, 0.1107296256
11, 4,0.25, 0.172069072723
