k, x, p
91,90.334,0.5
91,99.7,0.25
91,108.661,0.1
91,114.268,0.05
91,119.282,0.025
91,125.289,0.01
91,129.491,0.005
91,134.702,0.002
92,60.815,0.995
92,63.409,0.99
92,67.356,0.975
92,70.882,0.95
92,75.1,0.9
92,82.524,0.75
92,91.334,0.5
92,100.75,0.25
92,109.756,0.1
92,115.39,0.05
92,120.427,0.025
92,126.462,0.01
92,130.681,0.005
92,135.915,0.002
93,61.625,0.995
93,64.238,0.99
93,68.211,0.975
93,71.76,0.95
93,76.006,0.9
93,83.474,0.75
93,92.334,0.5
93,101.8,0.25
93,110.85,0.1
93,116.511,0.05
93,121.571,0.025
93,127.633,0.01
93,131.871,0.005
93,137.127,0.002
94,62.437,0.995
94,65.068,0.99
94,69.068,0.975
94,72.64,0.95
94,76.912,0.9
94,84.425,0.75
94,93.334,0.5
94,102.85,0.25
94,111.944,0.1
94,117.632,0.05
94,122.715,0.025
94,128.803,0.01
94,133.059,0.005
94,138.337,0.002
95,63.25,0.995
95,65.898,0.99
95,69.925,0.975
95,73.52,0.95
95,77.818,0.9
95,85.376,0.75
95,94.334,0.5
95,103.899,0.25
95,113.038,0.1
95,118.752,0.05
95,123.858,0.025
95,129.973,0.01
95,134.247,0.005
95,139.546,0.002
96,64.063,0.995
96,66.73,0.99
96,70.783,0.975
96,74.401,0.95
96,78.725,0.9
96,86.327,0.75
96,95.334,0.5
96,104.948,0.25
96,114.131,0.1
96,119.871,0.05
96,125,0.025
96,131.141,0.01
96,135.433,0.005
96,140.755,0.002
97,64.878,0.995
97,67.562,0.99
97,71.642,0.975
97,75.282,0.95
97,79.633,0.9
97,87.278,0.75
97,96.334,0.5
97,105.997,0.25
97,115.223,0.1
97,120.99,0.05
97,126.141,0.025
97,132.309,0.01
97,136.619,0.005
97,141.962,0.002
98,65.694,0.995
98,68.396,0.99
98,72.501,0.975
98,76.164,0.95
98,80.541,0.9
98,88.229,0.75
98,97.334,0.5
98,107.045,0.25
98,116.315,0.1
98,122.108,0.05
98,127.282,0.025
98,133.476,0.01
98,137.803,0.005
98,143.168,0.002
99,66.51,0.995
99,69.23,0.99
99,73.361,0.975
99,77.046,0.95
99,81.449,0.9
99,89.181,0.75
99,98.334,0.5
99,108.093,0.25
99,117.407,0.1
99,123.225,0.05
99,128.422,0.025
99,134.642,0.01
99,138.987,0.005
99,144.373,0.002
100,67.328,0.995
100,70.065,0.99
100,74.222,0.975
100,77.929,0.95
100,82.358,0.9
100,90.133,0.75
100,99.334,0.5
100,109.141,0.25
100,118.498,0.1
